row,col,cell_idx,x_center_m,y_center_m,lon,lat,is_riau
9,63,828,-1127500.0,-307500.0,102.8722260902018,-0.7378384039674133,True
9,64,829,-1122500.0,-307500.0,102.91713607071823,-0.7382556093261041,True
9,65,830,-1117500.0,-307500.0,102.96204608513058,-0.7386709604763937,True
9,66,831,-1112500.0,-307500.0,103.00695613328791,-0.7390844574181307,True
9,67,832,-1107500.0,-307500.0,103.0518662150393,-0.7394961001510327,True
9,68,833,-1102500.0,-307500.0,103.0967763302338,-0.7399058886738655,True
9,69,834,-1097500.0,-307500.0,103.14168647872049,-0.7403138229869202,True
9,70,835,-1092500.0,-307500.0,103.18659666034843,-0.7407199030893609,True
9,71,836,-1087500.0,-307500.0,103.23150687496667,-0.7411241289805127,True
9,72,837,-1082500.0,-307500.0,103.27641712242429,-0.7415265006604065,True
9,73,838,-1077500.0,-307500.0,103.32132740257035,-0.7419270181280444,True
9,74,839,-1072500.0,-307500.0,103.36623771525389,-0.7423256813830563,True
9,75,840,-1067500.0,-307500.0,103.411148060324,-0.742722490425428,True
9,76,841,-1062500.0,-307500.0,103.45605843762972,-0.7431174452540182,False
9,77,842,-1057500.0,-307500.0,103.50096884702012,-0.7435105458689584,False
9,78,843,-1052500.0,-307500.0,103.54587928834427,-0.7439017922697001,False
9,79,844,-1047500.0,-307500.0,103.59078976145119,-0.7442911844551936,False
9,80,845,-1042500.0,-307500.0,103.63570026618997,-0.7446787224255833,False
9,81,846,-1037500.0,-307500.0,103.68061080240967,-0.7450644061804904,False
9,82,847,-1032500.0,-307500.0,103.72552136995932,-0.7454482357187607,False
9,83,848,-1027500.0,-307500.0,103.770431968688,-0.7458302110406104,False
9,84,849,-1022500.0,-307500.0,103.81534259844474,-0.7462103321453032,False
10,0,850,-1442500.0,-302500.0,100.04350342749399,-0.6625918806793629,False
10,1,851,-1437500.0,-302500.0,100.08840912764013,-0.6631258952004524,False
10,2,852,-1432500.0,-302500.0,100.13331487118415,-0.6636580555600182,False
10,3,853,-1427500.0,-302500.0,100.17822065797519,-0.6641883617577526,False
10,4,854,-1422500.0,-302500.0,100.22312648786234,-0.66471681379304,False
10,5,855,-1417500.0,-302500.0,100.2680323606948,-0.6652434116653849,False
10,6,856,-1412500.0,-302500.0,100.31293827632163,-0.6657681553746275,False
10,7,857,-1407500.0,-302500.0,100.35784423459202,-0.6662910449195198,False
10,8,858,-1402500.0,-302500.0,100.40275023535507,-0.6668120803000449,False
10,9,859,-1397500.0,-302500.0,100.44765627845989,-0.6673312615154694,False
10,10,860,-1392500.0,-302500.0,100.49256236375565,-0.6678485885654138,False
10,11,861,-1387500.0,-302500.0,100.53746849109146,-0.668364061449074,False
10,12,862,-1382500.0,-302500.0,100.58237466031643,-0.6688776801660978,False
10,13,863,-1377500.0,-302500.0,100.62728087127972,-0.6693894447161173,False
10,14,864,-1372500.0,-302500.0,100.67218712383043,-0.6698993550983977,False
10,15,865,-1367500.0,-302500.0,100.7170934178177,-0.6704074113121105,False
10,16,866,-1362500.0,-302500.0,100.76199975309062,-0.6709136133576405,False
10,17,867,-1357500.0,-302500.0,100.80690612949834,-0.671417961233757,False
10,18,868,-1352500.0,-302500.0,100.85181254688999,-0.6719204549397209,False
10,19,869,-1347500.0,-302500.0,100.89671900511468,-0.6724210944760454,False
10,20,870,-1342500.0,-302500.0,100.94162550402152,-0.6729198798410627,False
10,21,871,-1337500.0,-302500.0,100.98653204345963,-0.6734168110347276,False
10,22,872,-1332500.0,-302500.0,101.03143862327815,-0.6739118880567069,False
10,23,873,-1327500.0,-302500.0,101.07634524332617,-0.674405110906358,False
10,24,874,-1322500.0,-302500.0,101.12125190345282,-0.6748964795829069,False
10,25,875,-1317500.0,-302500.0,101.16615860350723,-0.6753859940864404,False
10,26,876,-1312500.0,-302500.0,101.21106534333849,-0.6758736544159385,False
10,27,877,-1307500.0,-302500.0,101.25597212279573,-0.6763594605711248,False
10,28,878,-1302500.0,-302500.0,101.30087894172806,-0.6768434125512024,False
10,29,879,-1297500.0,-302500.0,101.34578579998457,-0.6773255103557074,False
10,30,880,-1292500.0,-302500.0,101.39069269741441,-0.6778057539846496,True
10,31,881,-1287500.0,-302500.0,101.43559963386667,-0.6782841434368911,True
10,32,882,-1282500.0,-302500.0,101.48050660919047,-0.6787606787125079,True
10,33,883,-1277500.0,-302500.0,101.52541362323491,-0.6792353598107009,True
10,34,884,-1272500.0,-302500.0,101.5703206758491,-0.6797081867305986,True
10,35,885,-1267500.0,-302500.0,101.61522776688214,-0.6801791594723656,True
10,36,886,-1262500.0,-302500.0,101.66013489618317,-0.6806482780348844,True
10,37,887,-1257500.0,-302500.0,101.70504206360127,-0.6811155424183275,True
10,38,888,-1252500.0,-302500.0,101.74994926898553,-0.6815809526215855,True
