cell_idx,row,col,is_riau,peat_frac,peat_depth_m
470,5,45,False,0.0,0.0
471,5,46,True,0.0,0.0
472,5,47,False,0.0,0.0
473,5,48,True,0.0,0.0
474,5,49,True,0.0,0.0
475,5,50,True,0.0,0.0
476,5,51,True,0.0,0.0
477,5,52,True,0.0,0.0
478,5,53,True,0.0,0.0
479,5,54,True,0.0,0.0
480,5,55,True,0.0,0.0
481,5,56,True,0.0,0.0
482,5,57,True,0.0,0.0
483,5,58,True,0.0,0.0
484,5,59,True,0.0,0.0
485,5,60,True,0.0,0.0
486,5,61,True,0.0,0.0
487,5,62,True,0.0,0.0
488,5,63,False,0.0,0.0
489,5,64,False,0.0,0.0
490,5,65,False,0.0,0.0
491,5,66,False,0.0,0.0
492,5,67,False,0.0,0.0
493,5,68,False,0.0,0.0
494,5,69,False,0.0,0.0
495,5,70,False,0.0,0.0
496,5,71,False,0.0,0.0
497,5,72,False,0.0,0.0
498,5,73,False,0.0,0.0
499,5,74,False,0.0,0.0
500,5,75,False,0.0,0.0
501,5,76,False,0.0,0.0
502,5,77,False,0.0,0.0
503,5,78,False,0.0,0.0
504,5,79,False,0.0,0.0
505,5,80,False,0.0,0.0
506,5,81,False,0.0,0.0
507,5,82,False,0.0,0.0
508,5,83,False,0.0,0.0
509,5,84,False,0.0,0.0
510,6,0,False,0.0,0.0
511,6,1,False,0.0,0.0
512,6,2,False,0.0,0.0
513,6,3,False,0.0,0.0
514,6,4,False,0.0,0.0
515,6,5,False,0.0,0.0
516,6,6,False,0.0,0.0
517,6,7,False,0.0,0.0
518,6,8,False,0.0,0.0
519,6,9,False,0.0,0.0
520,6,10,False,0.0,0.0
521,6,11,False,0.0,0.0
522,6,12,False,0.0,0.0
523,6,13,False,0.0,0.0
524,6,14,False,0.0,0.0
525,6,15,False,0.0,0.0
526,6,16,False,0.0,0.0
527,6,17,False,0.0,0.0
528,6,18,False,0.0,0.0
529,6,19,False,0.0,0.0
530,6,20,False,0.0,0.0
531,6,21,False,0.0,0.0
532,6,22,False,0.0,0.0
533,6,23,False,0.0,0.0
534,6,24,False,0.0,0.0
535,6,25,False,0.0,0.0
536,6,26,False,0.0,0.0
537,6,27,False,0.0,0.0
538,6,28,False,0.0,0.0
539,6,29,False,0.0,0.0
540,6,30,False,0.0,0.0
541,6,31,False,0.0,0.0
542,6,32,False,0.0,0.0
543,6,33,False,0.0,0.0
544,6,34,False,0.0,0.0
545,6,35,False,0.0,0.0
546,6,36,False,0.0,0.0
547,6,37,False,0.0,0.0
548,6,38,True,0.0,0.0
549,6,39,True,0.0,0.0
550,6,40,True,0.0,0.0
551,6,41,True,0.0,0.0
552,6,42,True,0.0,0.0
553,6,43,True,0.0,0.0
554,6,44,True,0.0,0.0
555,6,45,True,0.0,0.0
556,6,46,True,0.0,0.0
557,6,47,True,0.0,0.0
558,6,48,True,0.0,0.0
559,6,49,True,0.0,0.0
560,6,50,True,0.0,0.0
561,6,51,True,0.0,0.0
562,6,52,True,0.0,0.0
563,6,53,True,0.0,0.0
564,6,54,True,0.0,0.0
565,6,55,True,0.0,0.0
566,6,56,True,0.0,0.0
567,6,57,True,0.0,0.0
568,6,58,True,0.0,0.0
569,6,59,True,0.0,0.0
570,6,60,True,0.0,0.0
571,6,61,True,0.0,0.0
572,6,62,True,0.0,0.0
573,6,63,True,0.0,0.0
574,6,64,True,0.0,0.0
575,6,65,False,0.0,0.0
576,6,66,False,0.0,0.0
577,6,67,False,0.0,0.0
578,6,68,False,0.0,0.0
579,6,69,False,0.0,0.0
580,6,70,False,0.0,0.0
581,6,71,False,0.0,0.0
582,6,72,False,0.0,0.0
583,6,73,False,0.0,0.0
584,6,74,False,0.0,0.0
585,6,75,False,0.0,0.0
586,6,76,False,0.0,0.0
587,6,77,False,0.0,0.0
588,6,78,False,0.0,0.0
589,6,79,False,0.0,0.0
590,6,80,False,0.0,0.0
591,6,81,False,0.0,0.0
592,6,82,False,0.0,0.0
593,6,83,False,0.0,0.0
594,6,84,False,0.0,0.0
595,7,0,False,0.0,0.0
596,7,1,False,0.0,0.0
597,7,2,False,0.0,0.0
598,7,3,False,0.0,0.0
599,7,4,False,0.0,0.0
600,7,5,False,0.0,0.0
601,7,6,False,0.0,0.0
602,7,7,False,0.0,0.0
603,7,8,False,0.0,0.0
604,7,9,False,0.0,0.0
605,7,10,False,0.0,0.0
606,7,11,False,0.0,0.0
607,7,12,False,0.0,0.0
608,7,13,False,0.0,0.0
609,7,14,False,0.0,0.0
610,7,15,False,0.0,0.0
611,7,16,False,0.0,0.0
612,7,17,False,0.0,0.0
613,7,18,False,0.0,0.0
614,7,19,False,0.0,0.0
615,7,20,False,0.0,0.0
616,7,21,False,0.0,0.0
617,7,22,False,0.0,0.0
618,7,23,False,0.0,0.0
619,7,24,False,0.0,0.0
620,7,25,False,0.0,0.0
621,7,26,False,0.0,0.0
622,7,27,False,0.0,0.0
623,7,28,False,0.0,0.0
624,7,29,False,0.0,0.0
625,7,30,False,0.0,0.0
626,7,31,False,0.0,0.0
627,7,32,False,0.0,0.0
628,7,33,False,0.0,0.0
629,7,34,True,0.0,0.0
630,7,35,True,0.0,0.0
631,7,36,True,0.0,0.0
632,7,37,True,0.0,0.0
633,7,38,True,0.0,0.0
634,7,39,True,0.0,0.0
635,7,40,True,0.0,0.0
636,7,41,True,0.0,0.0
637,7,42,True,0.0,0.0
638,7,43,True,0.0,0.0
639,7,44,True,0.0,0.0
640,7,45,True,0.0,0.0
641,7,46,True,0.0,0.0
642,7,47,True,0.0,0.0
643,7,48,True,0.0,0.0
644,7,49,True,0.0,0.0
645,7,50,True,0.0,0.0
646,7,51,True,0.0,0.0
647,7,52,True,0.0,0.0
648,7,53,True,0.0,0.0
649,7,54,True,0.0,0.0
650,7,55,True,0.0,0.0
651,7,56,True,0.0,0.0
652,7,57,True,0.0,0.0
653,7,58,True,0.0,0.0
654,7,59,True,0.0,0.0
655,7,60,True,0.0,0.0
656,7,61,True,0.0,0.0
657,7,62,True,0.0,0.0
658,7,63,True,0.0,0.0
659,7,64,True,0.0,0.0
660,7,65,False,0.0,0.0
661,7,66,False,0.0,0.0
662,7,67,False,0.0,0.0
663,7,68,False,0.0,0.0
664,7,69,False,0.0,0.0
665,7,70,False,0.0,0.0
666,7,71,False,0.0,0.0
667,7,72,False,0.0,0.0
668,7,73,False,0.0,0.0
669,7,74,False,0.0,0.0
670,7,75,False,0.0,0.0
671,7,76,False,0.0,0.0
672,7,77,False,0.0,0.0
673,7,78,False,0.0,0.0
674,7,79,False,0.0,0.0
675,7,80,False,0.0,0.0
676,7,81,False,0.0,0.0
677,7,82,False,0.0,0.0
678,7,83,False,0.0,0.0
679,7,84,False,0.0,0.0
680,8,0,False,0.0,0.0
